"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","875","Delete User","Default Suite","Sun Jul 20 21:38:24 IST 2025","passed","Sun Jul 20 21:38:25 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_19_VerifyDeletionWithValidCartId"
"","782","Add New Product","Default Suite","Sun Jul 20 21:38:13 IST 2025","passed","Sun Jul 20 21:38:14 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_06_verifyProductCreated"
"","746","Get Single Product","Default Suite","Sun Jul 20 21:38:12 IST 2025","passed","Sun Jul 20 21:38:13 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_05_verifyStatusCodeForInvalidId"
"","831","Delete Cart","Default Suite","Sun Jul 20 21:38:19 IST 2025","passed","Sun Jul 20 21:38:20 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_14_VerifyDeletionWithValidCartId"
"","846","Update Product","Default Suite","Sun Jul 20 21:38:14 IST 2025","passed","Sun Jul 20 21:38:15 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_08_verifyProductUpdateWithValidData"
"","803","Update User","Default Suite","Sun Jul 20 21:38:23 IST 2025","passed","Sun Jul 20 21:38:24 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_18_verifyUserUpdateWithValidData"
"","3932","Add New User - Valid Payload","Default Suite","Sun Jul 20 21:14:41 IST 2025","passed","Sun Jul 20 21:14:45 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","FS_TC_17_verifyAddNewUser"
"","1057","Add New User - Valid Payload","Default Suite","Sun Jul 20 21:38:22 IST 2025","passed","Sun Jul 20 21:38:23 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_17_verifyAddNewUser"
"","873","GET ALL Carts","Default Suite","Sun Jul 20 21:38:16 IST 2025","passed","Sun Jul 20 21:38:17 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_10_verify_responseCodeForAllCarts"
"","407","Add New Product","Default Suite","Sun Jul 20 21:38:14 IST 2025","passed","Sun Jul 20 21:38:14 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_07_verifyStatusCodeForInvalidPayload"
"","758","Add New Cart","Default Suite","Sun Jul 20 21:38:18 IST 2025","passed","Sun Jul 20 21:38:18 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_12_verifyNewCartCreated"
"","787","GET Single Products","Default Suite","Sun Jul 20 21:38:10 IST 2025","passed","Sun Jul 20 21:38:11 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_03_verifyStatusForSingleProduct"
"","2802","GET ALL products","Default Suite","Sun Jul 20 21:38:06 IST 2025","passed","Sun Jul 20 21:38:09 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_01_verify_responseCodeForAllProducts"
"","1032","Login with Valid Credentials","Default Suite","Sun Jul 20 21:38:25 IST 2025","passed","Sun Jul 20 21:38:26 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_20_verifyLoginSuccessful"
"","858","GET Single User","Default Suite","Sun Jul 20 21:38:21 IST 2025","passed","Sun Jul 20 21:38:22 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_16_verifyStatusForSingleUser"
"","952","GET Single Cart","Default Suite","Sun Jul 20 21:38:17 IST 2025","passed","Sun Jul 20 21:38:18 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_11_verifyStatusForSingleCart"
"","902","Login with Valid Credentials","Default Suite","Sun Jul 20 21:26:11 IST 2025","passed","Sun Jul 20 21:26:12 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","FS_TC_20_verifyLoginSuccessful"
"","1354","Get Single Product","Default Suite","Sun Jul 20 21:38:11 IST 2025","passed","Sun Jul 20 21:38:12 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_04_verifyProductDetailsById"
"","3037","GET ALL Carts","Default Suite","Sun Jul 20 20:42:55 IST 2025","passed","Sun Jul 20 20:42:58 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_010_verify_responseCodeForAllCarts"
"","1205","GET All Products","Default Suite","Sun Jul 20 21:38:09 IST 2025","passed","Sun Jul 20 21:38:10 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_02_verifyResponseContains_non_empty"
"","1077","Login with Invalid Credentials","Default Suite","Sun Jul 20 21:38:26 IST 2025","passed","Sun Jul 20 21:38:27 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_21_verifyLoginUnsuccessful"
"","864","GET ALL Users","Default Suite","Sun Jul 20 21:38:20 IST 2025","passed","Sun Jul 20 21:38:21 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_15_verify_responseCodeForAllCarts"
"","790","Update Cart","Default Suite","Sun Jul 20 21:38:19 IST 2025","passed","Sun Jul 20 21:38:19 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_13_verifyCartUpdateWithValidData"
"","832","Delete Product","Default Suite","Sun Jul 20 21:38:15 IST 2025","passed","Sun Jul 20 21:38:16 IST 2025","FakeStoreApiTest","REST_ASSURED_PROJECT_2","FakeStoreApiTest","TC_09_VerifyDeletionWithValidProductId"
